,MethodA,MethodB,ReferenceCount
0,org.mybatis.jpetstore.domain.Item.setAttribute5,org.mybatis.jpetstore.domain.Item.attribute5,1
0,org.mybatis.jpetstore.domain.Item.setItemId,org.mybatis.jpetstore.domain.Item.itemId,1
0,org.mybatis.jpetstore.domain.Item.setListPrice,org.mybatis.jpetstore.domain.Item.listPrice,1
0,org.mybatis.jpetstore.domain.Item.setProduct,org.mybatis.jpetstore.domain.Item.product,1
0,org.mybatis.jpetstore.domain.Item.setQuantity,org.mybatis.jpetstore.domain.Item.quantity,1
0,org.mybatis.jpetstore.domain.Item.setStatus,org.mybatis.jpetstore.domain.Item.status,1
0,org.mybatis.jpetstore.domain.Item.setSupplierId,org.mybatis.jpetstore.domain.Item.supplierId,1
0,org.mybatis.jpetstore.domain.Item.setUnitCost,org.mybatis.jpetstore.domain.Item.unitCost,1
0,org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Item.getItemId,1
0,org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Item.getProduct,1
0,org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Product.getProductId,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.CartItem.getItem,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.CartItem.getQuantity,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.Item.getItemId,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.Item.getListPrice,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.itemId,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.lineNumber,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.LineItem.unitPrice,1
0,org.mybatis.jpetstore.domain.LineItem.calculateTotal,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.calculateTotal,org.mybatis.jpetstore.domain.LineItem.total,1
0,org.mybatis.jpetstore.domain.LineItem.getItem,org.mybatis.jpetstore.domain.LineItem.item,1
0,org.mybatis.jpetstore.domain.LineItem.getItemId,org.mybatis.jpetstore.domain.LineItem.itemId,1
0,org.mybatis.jpetstore.domain.LineItem.getLineNumber,org.mybatis.jpetstore.domain.LineItem.lineNumber,1
0,org.mybatis.jpetstore.domain.LineItem.getOrderId,org.mybatis.jpetstore.domain.LineItem.orderId,1
0,org.mybatis.jpetstore.domain.LineItem.getQuantity,org.mybatis.jpetstore.domain.LineItem.quantity,1
0,org.mybatis.jpetstore.domain.LineItem.getTotal,org.mybatis.jpetstore.domain.LineItem.total,1
