Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
spring-petclinic,mono2micro,3,natural,method_level,43.29896907216495,97 (86.6%),3,9,55,32.333333333333336,23.007245235649865,33.0
spring-petclinic,mono2micro,3,natural,class_level,100.0,17 (73.9%),3,3,7,5.666666666666667,2.309401076758503,7.0
spring-petclinic,mono2micro,5,natural,method_level,17.525773195876294,97 (86.6%),5,2,45,19.4,18.609137540466513,10.0
spring-petclinic,mono2micro,5,natural,class_level,29.411764705882348,17 (73.9%),5,1,7,3.4,2.5099800796022267,2.0
demo,tomicroservices,2,overhead,method_level,0.0,121 (41.0%),2,7,114,60.5,75.66042558696059,60.5
demo,tomicroservices,3,overhead,method_level,0.0,120 (40.7%),3,7,104,40.0,55.4346462061408,9.0
demo,tomicroservices,4,overhead,method_level,14.876033057851235,121 (41.0%),4,7,96,30.25,43.84347157787577,9.0
demo,tomicroservices,5,overhead,method_level,27.86885245901639,122 (41.4%),5,7,88,24.4,35.564026768632374,9.0
demo,tomicroservices,6,overhead,method_level,32.47863247863248,117 (39.7%),6,8,40,19.5,15.55313473226539,10.5
demo,tomicroservices,7,overhead,method_level,50.86206896551724,116 (39.3%),7,8,29,16.571428571428573,8.92295061171178,15.0
demo,tomicroservices,8,overhead,method_level,56.41025641025641,117 (39.7%),8,8,51,14.625,14.72546385396011,9.5
demo,tomicroservices,9,overhead,method_level,100.0,114 (38.6%),9,9,18,12.666666666666666,3.840572873934304,13.0
demo,tomicroservices,10,overhead,method_level,63.24786324786324,117 (39.7%),10,8,25,11.7,5.598610938835137,9.0
jpetstore,tomicroservices,3,overhead,method_level,0.0,229 (75.8%),3,8,213,76.33333333333333,118.35680518387329,8.0
jpetstore,tomicroservices,5,overhead,method_level,0.0,227 (75.2%),5,9,191,45.4,81.39287438099235,9.0
partsunlimited,tomicroservices,5,overhead,method_level,22.360248447204967,161 (39.1%),5,9,125,32.2,51.87677707799512,9.0
spring-petclinic,tomicroservices,3,overhead,method_level,26.470588235294112,68 (60.7%),3,9,50,22.666666666666668,23.671361036774655,9.0
spring-petclinic,tomicroservices,5,overhead,method_level,56.25,64 (57.1%),5,9,28,12.8,8.497058314499201,9.0
