Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
demo,hydec,n_partitions,default,X,X,X,59.84242261484861,method_level,-1,X,0.0,34.8394315519625,12.039473684210526
demo,hydec,n_partitions,default,X,X,X,47.131422363111945,class_level,-1,X,3.571428571428571,34.8394315519625,12.039473684210526
jpetstore,hydec,n_partitions,default,X,X,X,52.83249771100154,method_level,-1,X,3.571428571428571,12.099436665507007,12.115700526384352
jpetstore,hydec,n_partitions,default,X,X,X,32.00916467045499,class_level,-1,X,3.571428571428571,12.099436665507007,12.115700526384352
partsunlimited,hydec,n_partitions,default,X,X,X,91.96516974109338,method_level,-1,X,66.66666666666666,33.23221075080915,33.232509463357566
partsunlimited,hydec,n_partitions,default,X,X,X,89.43515165659593,class_level,-1,X,66.66666666666666,33.23221075080915,33.232509463357566
spring-petclinic,hydec,n_partitions,default,X,X,X,49.30555555555555,method_level,-1,X,0.0,43.18968485214681,35.96557582998146
spring-petclinic,hydec,n_partitions,default,X,X,X,42.34848484848485,class_level,-1,X,0.0,43.18968485214681,35.96557582998146
jpetstore,log2ms,n_partitions,default,X,X,X,76.0443178220956,method_level,-1,X,33.33333333333333,33.1206497248518,33.102951463230355
jpetstore,log2ms,n_partitions,default,X,X,X,69.86965545869656,class_level,-1,X,33.33333333333333,33.1206497248518,33.102951463230355
spring-petclinic,log2ms,n_partitions,default,X,X,X,39.38525242873069,method_level,-1,X,14.285714285714285,16.879902618203833,14.057227973714454
spring-petclinic,log2ms,n_partitions,default,X,X,X,29.190179190179187,class_level,-1,X,14.285714285714285,16.879902618203833,14.057227973714454
demo,mosaic,n_partitions,default,X,X,X,100.0,method_level,-1,X,0.0,45.67511278378107,24.456521739130434
jpetstore,mosaic,n_partitions,default,X,X,X,80.32436162870947,method_level,-1,X,0.0,33.06288437532552,33.06915068310831
partsunlimited,mosaic,n_partitions,default,X,X,X,90.76263961561352,method_level,-1,X,10.0,20.120709427450358,20.194009554584042
spring-petclinic,mosaic,n_partitions,default,X,X,X,100.0,method_level,-1,X,0.0,53.66093823768738,50.79991932236232
demo,tomicroservices,2_partitions,functionality,X,X,X,66.91647150663545,method_level,-1,X,100.0,51.13237708873268,49.565217391304344
demo,tomicroservices,3_partitions,functionality,X,X,X,50.69873997709049,method_level,-1,X,66.66666666666666,34.52454759592199,32.748538011695906
demo,tomicroservices,4_partitions,functionality,X,X,X,34.99870525021039,method_level,-1,X,50.0,27.57602999685897,24.34782608695652
demo,tomicroservices,5_partitions,functionality,X,X,X,41.48419007242537,method_level,-1,X,30.0,29.36358692389387,19.310344827586206
demo,tomicroservices,6_partitions,functionality,X,X,X,49.52430285763619,method_level,-1,X,40.0,23.105761011588942,15.92261904761905
demo,tomicroservices,7_partitions,functionality,X,X,X,26.082799397076332,method_level,-1,X,61.904761904761905,14.776469780629476,13.513513513513514
demo,tomicroservices,8_partitions,functionality,X,X,X,29.911518661518667,method_level,-1,X,25.0,14.67004784681276,11.71875
demo,tomicroservices,9_partitions,functionality,X,X,X,28.649872308064396,method_level,-1,X,41.66666666666667,14.946545494521768,10.295616717635065
demo,tomicroservices,10_partitions,functionality,X,X,X,30.945078202221065,method_level,-1,X,35.55555555555556,13.023416023518802,9.19642857142857
jpetstore,tomicroservices,3_partitions,functionality,X,X,X,34.64285714285714,method_level,-1,X,33.33333333333333,32.978149103870855,33.023675938286154
jpetstore,tomicroservices,5_partitions,functionality,X,X,X,24.119858469703672,method_level,-1,X,40.0,19.609049845580543,19.620067877016144
partsunlimited,tomicroservices,5_partitions,functionality,X,X,X,29.51158940397351,method_level,-1,X,40.0,19.207378198266806,19.40730158303484
spring-petclinic,tomicroservices,3_partitions,functionality,X,X,X,60.317460317460316,method_level,-1,X,0.0,33.90472315112723,32.72672727762202
spring-petclinic,tomicroservices,5_partitions,functionality,X,X,X,33.48888888888889,method_level,-1,X,10.0,22.48000226898343,19.552048784302777
demo,mono2micro,2_partitions,natural,X,X,X,92.65097100292631,method_level,-1,X,0.0,61.74064435613983,49.717514124293785
demo,mono2micro,2_partitions,natural,X,X,X,85.15291607396871,class_level,-1,X,0.0,61.74064435613983,49.717514124293785
demo,mono2micro,3_partitions,natural,X,X,X,91.31961355425044,method_level,-1,X,0.0,53.18456883861019,32.95668549905838
demo,mono2micro,3_partitions,natural,X,X,X,81.84823284823285,class_level,-1,X,0.0,53.18456883861019,32.95668549905838
demo,mono2micro,4_partitions,natural,X,X,X,91.66947158074335,method_level,-1,X,0.0,48.411738802859006,24.576271186440678
demo,mono2micro,4_partitions,natural,X,X,X,80.25064350064349,class_level,-1,X,0.0,48.411738802859006,24.576271186440678
demo,mono2micro,5_partitions,natural,X,X,X,91.39307532209273,method_level,-1,X,0.0,45.4523999605556,19.54802259887006
demo,mono2micro,5_partitions,natural,X,X,X,77.53384813384812,class_level,-1,X,0.0,45.4523999605556,19.54802259887006
demo,mono2micro,6_partitions,natural,X,X,X,91.42104049682894,method_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,6_partitions,natural,X,X,X,74.36652236652237,class_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,7_partitions,natural,X,X,X,91.42104049682894,method_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,7_partitions,natural,X,X,X,74.36652236652237,class_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,8_partitions,natural,X,X,X,91.42104049682894,method_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,8_partitions,natural,X,X,X,74.36652236652237,class_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,9_partitions,natural,X,X,X,91.42104049682894,method_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
demo,mono2micro,9_partitions,natural,X,X,X,74.36652236652237,class_level,-1,X,6.666666666666667,40.60329975979229,16.195856873822976
jpetstore,mono2micro,3_partitions,natural,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
jpetstore,mono2micro,3_partitions,natural,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
jpetstore,mono2micro,5_partitions,natural,X,X,X,49.583333333333336,method_level,-1,X,0.0,49.75277612170294,49.81363152289669
jpetstore,mono2micro,5_partitions,natural,X,X,X,49.519230769230774,class_level,-1,X,0.0,49.75277612170294,49.81363152289669
partsunlimited,mono2micro,5_partitions,natural,X,X,X,68.9241979231868,method_level,-1,X,100.0,33.25120496515229,33.26674875666117
partsunlimited,mono2micro,5_partitions,natural,X,X,X,51.00890451346126,class_level,-1,X,100.0,33.25120496515229,33.26674875666117
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,82.9923273657289,method_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,77.77777777777777,class_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
spring-petclinic,mono2micro,5_partitions,natural,X,X,X,55.418419822346884,method_level,-1,X,10.0,24.18994990711333,20.412236971609765
spring-petclinic,mono2micro,5_partitions,natural,X,X,X,51.11111111111111,class_level,-1,X,10.0,24.18994990711333,20.412236971609765
demo,tomicroservices,2_partitions,overhead,X,X,X,55.219780219780226,method_level,-1,X,100.0,49.62480413734387,49.565217391304344
demo,tomicroservices,3_partitions,overhead,X,X,X,48.595744102804446,method_level,-1,X,66.66666666666666,33.90121361736829,32.748538011695906
demo,tomicroservices,4_partitions,overhead,X,X,X,38.51650268648385,method_level,-1,X,50.0,27.429419818035853,24.347826086956523
demo,tomicroservices,5_partitions,overhead,X,X,X,44.68650296599154,method_level,-1,X,30.0,30.3188728389206,19.310344827586206
demo,tomicroservices,6_partitions,overhead,X,X,X,29.04392764857881,method_level,-1,X,53.333333333333336,20.665986696720626,15.92261904761905
demo,tomicroservices,7_partitions,overhead,X,X,X,32.84973909027001,method_level,-1,X,42.857142857142854,16.3864298499618,13.513513513513514
demo,tomicroservices,8_partitions,overhead,X,X,X,30.30669085816145,method_level,-1,X,39.285714285714285,17.220809103577956,11.718750000000002
demo,tomicroservices,9_partitions,overhead,X,X,X,43.00278652442995,method_level,-1,X,36.11111111111111,18.16485513343861,10.295616717635067
demo,tomicroservices,10_partitions,overhead,X,X,X,31.322584927076324,method_level,-1,X,22.22222222222222,15.37155974872227,9.19642857142857
jpetstore,tomicroservices,3_partitions,overhead,X,X,X,40.73260073260074,method_level,-1,X,66.66666666666666,32.97918350939672,33.02503874041934
jpetstore,tomicroservices,5_partitions,overhead,X,X,X,24.119858469703672,method_level,-1,X,40.0,19.609049845580543,19.620067877016144
partsunlimited,tomicroservices,5_partitions,overhead,X,X,X,35.32452981192476,method_level,-1,X,50.0,19.147314237509303,19.387094190280756
spring-petclinic,tomicroservices,3_partitions,overhead,X,X,X,57.125819916517585,method_level,-1,X,0.0,36.31541311359443,33.3601849893348
spring-petclinic,tomicroservices,5_partitions,overhead,X,X,X,24.636015325670503,method_level,-1,X,20.0,21.9300163808325,19.465606004849427
