,ClassA,ClassB,ReferenceCount
0,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.repositories.mongodb.models.QuoteDetails,8
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,1
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.models.ShipmentRecord,4
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.repositories.mongodb.models.ShipmentDetails,7
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.BadRequestException,1
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.ConflictingRequestException,1
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.repositories.OrderRepository,2
0,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.models.Order,1
0,smpl.ordering.repositories.mongodb.models.CatalogItem,smpl.ordering.models.CatalogItem,11
0,smpl.ordering.repositories.mongodb.models.Dealer,smpl.ordering.models.DealerInfo,11
0,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.models.Order,11
0,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.models.Quote,21
0,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.models.QuoteItemInfo,2
0,smpl.ordering.repositories.mongodb.models.ShipmentDetails,smpl.ordering.models.ShipmentRecord,13
