,MethodA,MethodB,ReferenceCount
0,smpl.ordering.controllers.QuoteController.getQuoteById,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.QuoteController.getQuoteById,smpl.ordering.controllers.QuoteController.getRepository,1
0,smpl.ordering.controllers.QuoteController.getQuoteById,smpl.ordering.repositories.QuoteRepository.getQuote,1
0,smpl.ordering.controllers.QuoteController.getQuotesByCustomerName,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.QuoteController.getQuotesByCustomerName,smpl.ordering.controllers.QuoteController.getRepository,1
0,smpl.ordering.controllers.QuoteController.getQuotesByCustomerName,smpl.ordering.repositories.QuoteRepository.getQuotesByCustomerName,1
0,smpl.ordering.controllers.QuoteController.getRepository,smpl.ordering.repositories.RepositoryFactory.getQuoteRepository,1
0,smpl.ordering.controllers.QuoteController.updateQuote,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.QuoteController.updateQuote,smpl.ordering.controllers.QuoteController.getRepository,1
0,smpl.ordering.controllers.QuoteController.updateQuote,smpl.ordering.models.Quote.validate,1
0,smpl.ordering.controllers.QuoteController.updateQuote,smpl.ordering.repositories.QuoteRepository.updateQuote,1
0,smpl.ordering.controllers.ShipmentController.addEvent,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.ShipmentController.addEvent,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.addEvent,smpl.ordering.models.ShipmentEventInfo.setDate,1
0,smpl.ordering.controllers.ShipmentController.addEvent,smpl.ordering.models.ShipmentEventInfo.validate,1
0,smpl.ordering.controllers.ShipmentController.addEvent,smpl.ordering.repositories.ShipmentRepository.addEvent,1
0,smpl.ordering.controllers.ShipmentController.addEvent,smpl.ordering.repositories.ShipmentRepository.getShipmentById,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.BadRequestException.getMessage,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.OrderingInitializer.getApplicationPath,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.models.ShipmentRecord.getOrderId,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.models.ShipmentRecord.validate,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.repositories.ShipmentRepository.createShipment,1
0,smpl.ordering.controllers.ShipmentController.createShipmentRecord,smpl.ordering.repositories.ShipmentRepository.getShipmentById,1
0,smpl.ordering.controllers.ShipmentController.deleteShipment,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.ShipmentController.deleteShipment,smpl.ordering.controllers.ShipmentController.getShipmentRepository,1
0,smpl.ordering.controllers.ShipmentController.deleteShipment,smpl.ordering.repositories.ShipmentRepository.removeShipment,1
0,smpl.ordering.controllers.ShipmentController.getDeliveries,smpl.ordering.controllers.ShipmentController.getOrderRepository,1
